iter	Passed	Remaining
1322	68726	35168
1323	68774	35114
1324	68825	35061
1325	68876	35009
1326	68930	34958
1327	68979	34905
1328	69072	34873
1329	69146	34832
1330	69197	34780
1331	69248	34728
1332	69293	34672
1333	69339	34617
1334	69394	34567
1335	69443	34513
1336	69489	34458
1337	69525	34399
1338	69564	34340
1339	69604	34282
1340	69648	34226
1341	69691	34170
1342	69734	34114
1343	69776	34057
1344	69817	34000
1345	69861	33944
1346	69907	33889
1347	69957	33837
1348	70000	33780
1349	70051	33728
1350	70093	33671
1351	70134	33614
1352	70174	33557
1353	70220	33502
1354	70262	33446
1355	70303	33388
1356	70344	33331
1357	70386	33275
1358	70425	33217
1359	70467	33161
1360	70511	33105
1361	70562	33053
1362	70608	32999
1363	70655	32945
1364	70704	32891
1365	70751	32838
1366	70797	32783
1367	70841	32727
1368	70888	32674
1369	70933	32618
1370	70976	32563
1371	71016	32506
1372	71059	32450
1373	71107	32396
1374	71154	32342
1375	71192	32285
1376	71232	32227
1377	71273	32171
1378	71308	32112
1379	71353	32057
1380	71393	32000
1381	71435	31944
1382	71477	31888
1383	71516	31830
1384	71554	31773
1385	71592	31715
1386	71632	31658
1387	71678	31604
1388	71727	31551
1389	71776	31498
1390	71828	31447
1391	71879	31395
1392	71919	31338
1393	71962	31283
1394	72008	31229
1395	72054	31175
1396	72098	31120
1397	72148	31068
1398	72194	31014
1399	72239	30959
1400	72283	30904
1401	72325	30849
1402	72370	30794
1403	72415	30740
1404	72466	30688
1405	72516	30636
1406	72568	30584
1407	72621	30534
1408	72677	30484
1409	72731	30433
1410	72779	30380
1411	72823	30325
1412	72880	30276
1413	72938	30227
1414	72999	30179
1415	73068	30135
1416	73134	30089
1417	73194	30041
1418	73256	29994
1419	73310	29943
1420	73366	29893
1421	73416	29841
1422	73480	29795
1423	73542	29747
1424	73603	29699
1425	73673	29655
1426	73743	29611
1427	73800	29561
1428	73860	29513
1429	73941	29473
1430	74010	29428
1431	74071	29380
1432	74127	29330
1433	74182	29279
1434	74237	29229
1435	74283	29175
1436	74337	29124
1437	74391	29073
1438	74441	29021
1439	74488	28967
1440	74532	28912
1441	74582	28860
1442	74641	28811
1443	74686	28757
1444	74727	28701
1445	74772	28647
1446	74820	28594
1447	74864	28539
1448	74913	28486
1449	74955	28431
1450	75003	28378
1451	75055	28326
1452	75101	28272
1453	75146	28218
1454	75198	28166
1455	75249	28115
1456	75303	28064
1457	75349	28010
1458	75395	27956
1459	75448	27905
1460	75506	27856
1461	75565	27807
1462	75629	27760
1463	75689	27711
1464	75746	27661
1465	75808	27613
1466	75863	27563
1467	75924	27514
1468	75980	27464
1469	76038	27415
1470	76100	27367
1471	76156	27316
1472	76218	27268
1473	76279	27220
1474	76342	27172
1475	76411	27127
1476	76473	27078
1477	76534	27030
1478	76603	26984
1479	76668	26937
1480	76729	26889
1481	76784	26838
1482	76844	26789
1483	76903	26740
1484	76966	26692
1485	77025	26642
1486	77079	26591
1487	77138	26542
1488	77194	26491
1489	77250	26441
1490	77299	26388
1491	77353	26337
1492	77406	26286
1493	77458	26234
1494	77499	26178
1495	77536	26121
1496	77577	26066
1497	77620	26011
1498	77664	25957
1499	77705	25901
1500	77749	25847
1501	77795	25793
1502	77839	25739
1503	77892	25687
1504	77942	25635
1505	77998	25585
1506	78051	25533
1507	78096	25479
1508	78137	25424
1509	78182	25370
1510	78225	25315
1511	78270	25261
1512	78312	25206
1513	78350	25150
1514	78393	25096
1515	78435	25041
1516	78477	24986
1517	78516	24930
1518	78557	24875
1519	78601	24821
1520	78645	24767
1521	78688	24712
1522	78734	24659
1523	78777	24605
1524	78818	24549
1525	78858	24494
1526	78897	24439
1527	78941	24385
1528	78982	24330
1529	79047	24282
1530	79099	24231
1531	79148	24178
1532	79195	24125
1533	79237	24070
1534	79275	24015
1535	79315	23960
1536	79358	23905
1537	79398	23850
1538	79438	23795
1539	79478	23740
1540	79520	23685
1541	79559	23630
1542	79600	23575
1543	79646	23522
1544	79690	23468
1545	79729	23413
1546	79768	23358
1547	79810	23303
1548	79853	23249
1549	79894	23195
1550	79937	23141
1551	79976	23085
1552	80020	23032
1553	80069	22980
1554	80120	22928
1555	80169	22876
1556	80221	22824
1557	80268	22772
1558	80316	22719
1559	80363	22666
1560	80407	22613
1561	80453	22560
1562	80495	22505
1563	80539	22452
1564	80583	22398
1565	80623	22343
1566	80668	22290
1567	80708	22235
1568	80748	22181
